id	new_pbanka_id	B2toMG_RGR	B2toMG_SD	B2toMG_pheno	MGtoSG_RGR	MGtoSG_SD	MGtoSG_pheno	SGtoB2_RGR	SGtoB2_SD	SGtoB2_pheno	blood_RGR	blood_SD	blood_pheno	female_fertility_RGR	female_fertility_SD	female_fertility_pheno	male_fertility_RGR	male_fertility_SD	male_fertility_pheno	female_gam_RGR	female_gam_SD	female_gam_pheno	male_gam_RGR	male_gam_SD	male_gam_pheno	geneanot.id
167	PBANKA_0304300			NA			NA			NA	0.041205707	0.083003187	Essential			NA			NA			NA			NA	398
168	PBANKA_0304500	-1.864565932	0.673081886	No power	0.575347997	0.642269585	Not reduced	2.849050102	1.191831632	Not reduced	0.380483277	0.033933579	Slow	-7.2437266066558	0.092485120543709	Reduced	-2.23752453190463	1.19322701909338	No data			NA			NA	400
169	PBANKA_0304600			NA			NA			NA	0.136866177	0.054134637	Essential			NA			NA			NA			NA	401
170	PBANKA_0304700	-0.775816501	0.653700545	No power	-0.62962581	0.754918486	No power	0.925449191	0.885466784	Not reduced	0.930123907	0.073295726	Dispensable	-0.590840426186156	0.271908785697705	Not reduced	0.0199157529673882	0.624464628780641	Not reduced	-0.2590386920198094	0.2582543816708039	Not reduced	-0.1394374717890659	0.1312255694468216	Not reduced	402
171	PBANKA_0304800	-1.652511022	0.277851632	Reduced	0.634670811	0.155673973	Not reduced	-3.027839067	1.036178135	No power	0.594520994	0.112019021	Slow	-0.675666655393803	0.0546056031234563	Not reduced	-0.00934047278214131	0.107757917950144	Not reduced	0.7181203385904811	0.4610857585758736	Not reduced	0.6127057299651218	0.5327881741735837	Not reduced	403
172	PBANKA_0305000	-0.173648625	0.077784639	Not reduced	-0.235348371	0.079387526	Not reduced	-0.215035214	0.172494584	Not reduced	0.975686552	0.056486251	Dispensable	-0.518708481714639	0.10907926302754	Not reduced	0.0778122070970689	0.188118405643883	Not reduced	0.4929206653942813	0.2760293709823296	Not reduced	0.07866438122123245	0.2941119761817886	Not reduced	405
173	PBANKA_0305100	0.043084256	0.133270302	Not reduced	-0.00455299	0.102852495	Not reduced	-1.367006721	0.264445617	No power	1.044894228	0.085221109	Dispensable	-0.696883051407039	0.0970564115373998	Not reduced	0.308301387315047	0.419354396711344	Not reduced	0.03631129014485601	0.1730979189951125	Not reduced	-0.07422639259443069	0.2626169974341558	Not reduced	406
174	PBANKA_0305300			NA			NA			NA	0.04305711	0.047971501	Essential			NA			NA			NA			NA	408
175	PBANKA_0305400			NA			NA			NA	0.092115396	0.105148677	Essential			NA			NA			NA			NA	409
176	PBANKA_0305600			NA			NA			NA	0.067355202	0.038252853	Essential			NA			NA			NA			NA	411
177	PBANKA_0305700			NA			NA			NA	0.085668516	0.029330973	Essential			NA			NA			NA			NA	412
178	PBANKA_0305800	-2.199550129	0.411036004	Reduced	-1.952195428	0.54666578	No power	0.629029333	1.127034134	No power	0.355005921	0.069164303	Slow	-0.00652398372098145	0.328838837805718	No data	-0.565602694107507	0.24576822495895	Not reduced			NA			NA	413
179	PBANKA_0306000	-0.439285533	0.355835266	No power	0.089853953	0.317554675	Not reduced	0.093957082	0.555165019	No power	1.004921081	0.088978779	Dispensable	0.0149163352204895	0.319405044484273	Not reduced	0.374108959658329	0.861376329262384	Not reduced	-3.163456141828325	0.2726543757331095	Reduced	-3.151660581188712	0.2469105435740345	Reduced	415
180	PBANKA_0306100	-1.677060421	0.482655715	No power	-1.553423572	0.600529962	No power	-0.101642708	0.66966966	No power	1.022369332	0.073311602	Dispensable	0.131009330475195	0.991573036788661	Not reduced	-6.5916209236184	0.439052017251439	Reduced	0.08015299209662216	0.2173334996030675	Not reduced	0.1620959019555956	0.1532498138336957	Not reduced	416
181	PBANKA_0306300			NA			NA			NA	0.102433787	0.100631199	Essential			NA			NA			NA			NA	418
182	PBANKA_0306500	-0.655930293	0.163162827	Not reduced	-0.036752658	0.125678694	Not reduced	-1.018527394	0.333106623	No power	1.089945909	0.094417426	Dispensable	0.899721724825932	0.0429666973204165	Not reduced	0.740635176730814	0.447839858778874	Not reduced	0.329467609493874	0.4049153372317413	Not reduced	0.2896173137072079	0.2446938129131703	Not reduced	420
183	PBANKA_0306600	-0.547407673	0.13025464	Not reduced	-0.089124701	0.09060742	Not reduced	-0.787994129	0.222426897	No power	1.055835042	0.069007836	Dispensable	0.351490656203018	0.0932515463891723	Not reduced	-0.377804587590048	0.275382655261884	Not reduced	0.3105079753041072	0.3171683667638381	Not reduced	0.7875259985134208	0.3026777804405636	Not reduced	421
184	PBANKA_0306700			NA			NA			NA	0.180555679	0.057710129	Essential			NA			NA			NA			NA	422
185	PBANKA_0306800			NA			NA			NA	0.291300251	0.252709198	Essential			NA			NA			NA			NA	423
186	PBANKA_0306900			NA			NA			NA	0.140375679	0.146628851	Essential			NA			NA			NA			NA	424
187	PBANKA_0307700	-0.950748821	0.13184606	No power	-0.785524022	0.088207445	Not reduced	0.473056563	0.54551951	Not reduced	0.654961551	0.086098921	Slow	-1.1436951364224	0.116676919271589	Not reduced	-1.33956356399469	0.24384310647665	Not reduced			NA			NA	432
188	PBANKA_0307800	-2.67928741	1.045296346	No power	2.25127675	0.950497825	Not reduced	2.04273716	1.880029456	No power	0.453582571	0.134145846	Slow	-2.86209719034055	0.528712410960299	Not reduced	-2.54141319147039	0.0921726419016408	Reduced			NA			NA	433
189	PBANKA_0308100	-0.625750553	1.00970457	No power	-0.767821501	1.002424174	No power	1.272627183	0.906423434	Not reduced	0.73211049	0.068491841	Slow	-0.542056454355736	0.20941823363237	Not reduced	-1.79211159983583	0.337542724542583	Not reduced	-0.1556378733371941	0.162110016555972	Not reduced	-0.08051807588034017	0.1664859547314589	Not reduced	436
190	PBANKA_0308200	-0.168467963	0.188442428	Not reduced	-0.760156398	0.158422675	No power	-9.617579929	1.016300119	Reduced	0.841040496	0.063341381	Slow	-0.888442671617422	0.260886950238678	Not reduced	-0.181766113296424	0.090563144805603	Not reduced	-0.1653804606262124	0.1665244661813977	Not reduced	-0.1502702967284118	0.2117273956472479	Not reduced	437
191	PBANKA_0308400	-1.481201214	1.868720434	No power	-1.305817473	1.133929856	No power	8.189254101	1.379525111	Not reduced	0.162868125	0.025436007	Slow	-0.635049099543583	0.150428415548643	Not reduced	-2.79362893154243	0.436555116487275	No data			NA			NA	439
192	PBANKA_0308500	-0.167777424	0.201207034	Not reduced	-0.810593779	0.111637171	No power	-1.923708904	0.175397915	Reduced	0.991652776	0.022606125	Dispensable	0.112697443677277	0.134103814517363	Not reduced	-0.4475307017584	0.122683340497235	Not reduced	-0.1793903920041072	0.09759767398677731	Not reduced	0.0157812697690573	0.0983184702558361	Not reduced	440
193	PBANKA_0308600	-2.525948143	0.197311736	Reduced	-0.190834841	0.198710644	Not reduced	2.266257524	0.440722472	Not reduced	0.41976465	0.052124782	Slow	-1.01784470779812	0.348211382143812	Not reduced	-1.48068235841199	1.07939389948287	Not reduced			NA			NA	441
194	PBANKA_0308900	-0.597789279	0.196153567	Not reduced	-0.254675344	0.231679876	Not reduced	-1.423897655	0.467721405	No power	0.774185972	0.099701034	Slow	0.961397094484011	0.380246425121939	Not reduced	-3.81513180218278	0.735992980468544	Reduced	-2.237353038093968	0.6088589905231372	Reduced	-1.943814784945717	0.3673012172548585	Reduced	444
195	PBANKA_0309200			NA			NA			NA	0.043305391	0.089020014	Essential			NA			NA			NA			NA	447
196	PBANKA_0309400			NA			NA			NA	0.089398637	0.02976834	Essential			NA			NA			NA			NA	448
197	PBANKA_0309500			NA			NA			NA	0.141316839	0.148037226	Essential			NA			NA			NA			NA	449
198	PBANKA_0309600	-4.359113431	0.255024196	Reduced	0.387394486	0.461536847	Not reduced	-3.596376546	0.625370719	Reduced	0.730466629	0.09252743	Slow	-7.27820310127899	1.07769683897327	Reduced	-4.03660481126207	0.123431847742152	Reduced			NA			NA	450
199	PBANKA_0309700	-0.764119897	0.266581128	No power	-0.50974444	0.35328008	No power	0.032783304	0.661515025	No power	0.919967936	0.121317818	Dispensable	-0.257773422704052	0.0930307216679576	Not reduced	0.251750625327971	0.234144188407968	Not reduced	-0.2003335896299528	0.1787334333174611	Not reduced	0.04472315329849216	0.129997040644978	Not reduced	451
