PbGEM-ID	gene_id	pool
PbGEM-064297	PBANKA_141460	2
PbGEM-099883	PBANKA_112810	2
PbGEM-041695	PBANKA_111180	2
PbGEM-036306	PBANKA_101390	2
PbGEM-042008	PBANKA_111380	2
PbGEM-096105	PBANKA_101050	2
PbGEM-059959	PBANKA_134940	2
PbGEM-067210	PBANKA_143520	2
PbGEM-084632	PBANKA_041065	2
PbGEM-093381	PBANKA_091600	2
PbGEM-106217	PBANKA_132610	2
PbGEM-058661	PBANKA_134040	2
PbGEM-027775	PBANKA_083310	2
PbGEM-043181	PBANKA_112240	2
PbGEM-009249	PBANKA_030370	2
PbGEM-030952	PBANKA_091990	2
PbGEM-048376	PBANKA_121370	2
PbGEM-021746	PBANKA_071010	2
PbGEM-015197	PBANKA_051220	2
PbGEM-066015	PBANKA_142700	2
PbGEM-082644	PBANKA_021140	2
PbGEM-102772	PBANKA_122030	2
PbGEM-097088	PBANKA_102630	2
PbGEM-088353	PBANKA_062240	2
PbGEM-533427	PBANKA_030610	2
PbGEM-533467	PBANKA_030890	2
PbGEM-533195	PBANKA_011110	2
PbGEM-534107	PBANKA_061190	2
PbGEM-533851	PBANKA_051350	2
PbGEM-533419	PBANKA_030340	2
PbGEM-533099	PBANKA_010040	2
PbGEM-536539	PBANKA_130790	2
PbGEM-535235	PBANKA_100030	2
PbGEM-230537	PBANKA_040120	2
PbGEM-227922	PBANKA_011250	2
PbGEM-241876	PBANKA_094230	2
PbGEM-257126	PBANKA_144980	2
PbGEM-239781	PBANKA_093350	2
PbGEM-247352	PBANKA_113950	2
PbGEM-232294	PBANKA_051660	2
PbGEM-226701	PBANKA_010160	2
PbGEM-264852	PBANKA_143860	2
PbGEM-298717	PBANKA_110780	2
PbGEM-326459	PBANKA_146370	2
PbGEM-305946	PBANKA_121770	2
PbGEM-240478	PBANKA_092160	2
PbGEM-236932	PBANKA_080900	2
PbGEM-249381	PBANKA_121970	2
PbGEM-275858	PBANKA_051820	2
PbGEM-295934	PBANKA_102620	2
PbGEM-237320	PBANKA_090850	2
PbGEM-236279	PBANKA_080590	2
PbGEM-333619	PBANKA_100870	2
PbGEM-328723	PBANKA_031660	2
PbGEM-334763	PBANKA_110430	2
PbGEM-303882	PBANKA_120290	2
PbGEM-330747	PBANKA_070850	2
PbGEM-336371	PBANKA_121180	2
PbGEM-341067	PBANKA_145980	2
PbGEM-229203	PBANKA_020830	2
PbGEM-245543	PBANKA_113340	2
PbGEM-300555	PBANKA_112230	2
PbGEM-338835	PBANKA_135120	2
